Assessment_Unit_Name,Final_Total_Points,Final_Points_Possible,SEZ_ID,SEZ_Type,Final_Percent,Final_Rating,Year
Heavenly Valley Creek meadows - 2,75.0,120,112.0,Non-Channeled Meadow,0.625,D,2024
Heavenly Valley Creek meadows - 3,90.0,120,152.0,Non-Channeled Meadow,0.75,C,2024
Heavenly Valley Creek meadows - 4,84.0,108,113.0,Non-Channeled Meadow,0.7777777777777778,C,2024
Hell Hole Meadows - 2,57.0,72,8.0,Non-Channeled Meadow,0.7916666666666666,A,2024
Hell Hole meadows - 1,75.0,84,230.0,Channeled Meadow,0.8928571428571429,A,2024
Hidden Valley Creek - lower,54.0,60,551.0,Non-Channeled Meadow,0.9,A,2024
High Meadows - 3,33.0,48,200.0,Non-Channeled Meadow,0.6875,D,2024
High meadows - 1,90.0,96,203.0,Channeled Meadow,0.9375,A,2024
High meadows - 2,69.0,84,198.0,Non-Channeled Meadow,0.8214285714285714,B,2024
High meadows - 4,108.0,108,202.0,Non-Channeled Meadow,1.0,A,2024
High meadows - 6,72.0,84,437.0,Non-Channeled Meadow,0.8571428571428571,B,2024
Homewood Canyon Creek - lower,30.0,60,600.0,Non-Channeled Meadow,0.5,D,2024
Incline Creek - lower,66.0,72,553.0,Non-Channeled Meadow,0.9166666666666666,A,2024
Incline Creek - middle 1,48.0,60,554.0,Non-Channeled Meadow,0.8,B,2024
Incline Creek - middle 2,33.0,48,555.0,Channeled Meadow,0.6875,D,2024
Incline Creek - ski run,36.0,60,556.0,Non-Channeled Meadow,0.6,D,2024
Incline Creek - upper,69.0,72,557.0,Channeled Meadow,0.9583333333333334,A,2024
Incline Lake meadows - 2,90.0,108,190.0,Channeled Meadow,0.8333333333333334,B,2024
Incline Village tributary - 2,33.0,48,459.0,Channeled Meadow,0.6875,D,2024
Incline Village tributary - 3,36.0,60,460.0,Non-Channeled Meadow,0.6,D,2024
Incline Village tributary - 4,30.0,36,457.0,Channeled Meadow,0.8333333333333334,B,2024
Kahle meadows - 3,51.0,96,172.0,Non-Channeled Meadow,0.53125,D,2024
Kahle meadows - 5,66.0,84,118.0,Channeled Meadow,0.7857142857142857,C,2024
Kahle meadows - 6,63.0,84,469.0,Channeled Meadow,0.75,C,2024
Lake Forest meadows - 3,90.0,96,184.0,Non-Channeled Meadow,0.9375,A,2024
Lake Forest meadows - 4,42.0,72,487.0,Channeled Meadow,0.5833333333333334,D,2024
Lake Forest meadows - 5,30.0,60,223.0,Channeled Meadow,0.5,D,2024
Lake Forest tributary,18.0,24,624.0,Non-Channeled Meadow,0.75,C,2024
Logan House Creek - lower,24.0,48,558.0,Non-Channeled Meadow,0.5,D,2024
Logan House Creek - upper,57.0,72,507.0,Non-Channeled Meadow,0.7916666666666666,A,2024
Lonely Gulch Creek - lower,36.0,72,559.0,Non-Channeled Meadow,0.5,D,2024
Lonely Gulch Creek - middle,30.0,48,560.0,Non-Channeled Meadow,0.625,D,2024
Lonely Gulch Creek - upper,45.0,48,504.0,Non-Channeled Meadow,0.9375,A,2024
Marlette Creek - upper,30.0,48,631.0,Non-Channeled Meadow,0.625,D,2024
McKinney Creek - lower,54.0,72,566.0,Non-Channeled Meadow,0.75,C,2024
McKinney Creek - upper,42.0,60,505.0,Non-Channeled Meadow,0.7,C,2024
McKinney tributary - 1,30.0,36,626.0,Channeled Meadow,0.8333333333333334,B,2024
McKinney tributary - 2,30.0,36,453.0,Channeled Meadow,0.8333333333333334,B,2024
Meeks Bay meadows - 1,69.0,84,205.0,Channeled Meadow,0.8214285714285714,B,2024
Meeks Bay meadows - 2,69.0,84,207.0,Channeled Meadow,0.8214285714285714,B,2024
Meiss meadows - 1,87.0,108,123.0,Channeled Meadow,0.8055555555555556,B,2024
Meiss meadows - 2,57.0,60,122.0,Channeled Meadow,0.95,A,2024
Meiss meadows - 3,81.0,108,124.0,Non-Channeled Meadow,0.75,C,2024
Meiss meadows - 4,78.0,96,210.0,Non-Channeled Meadow,0.8125,B,2024
Meiss meadows - 5,90.0,96,209.0,Channeled Meadow,0.9375,A,2024
Meyers tributary - 2,33.0,60,467.0,Channeled Meadow,0.55,D,2024
Mill Creek - lower,30.0,60,568.0,Channeled Meadow,0.5,D,2024
Mill Creek - upper,33.0,36,515.0,Channeled Meadow,0.9166666666666666,A,2024
North Zephyr Creek - lower,39.0,72,570.0,Channeled Meadow,0.5416666666666666,D,2024
North Zephyr Creek - middle,45.0,72,615.0,Non-Channeled Meadow,0.625,D,2024
North Zephyr Creek - tributary,54.0,72,569.0,Non-Channeled Meadow,0.75,C,2024
Osgood Creek - above road,60.0,72,572.0,Non-Channeled Meadow,0.8333333333333334,B,2024
Osgood Creek - below road,54.0,72,573.0,Non-Channeled Meadow,0.75,C,2024
Quail Creek - lower,30.0,60,574.0,Channeled Meadow,0.5,D,2024
Rosewood Creek - lower,39.0,48,576.0,Non-Channeled Meadow,0.8125,B,2024
Rosewood Creek - middle 1,54.0,72,586.0,Non-Channeled Meadow,0.75,C,2024
Rosewood Creek - middle 2,34.5,60,587.0,Non-Channeled Meadow,0.575,D,2024
Rosewood Creek - middle 3,30.0,48,588.0,Non-Channeled Meadow,0.625,D,2024
Saxon Creek - headwaters,51.0,60,495.0,Channeled Meadow,0.85,B,2024
Saxon Creek - upper,54.0,72,641.0,Channeled Meadow,0.75,C,2024
Saxon Creek meadows - above Fountain Place 1,72.0,96,2.0,Non-Channeled Meadow,0.75,C,2024
Saxon Creek meadows - above Fountain Place 2,81.0,108,102.0,Non-Channeled Meadow,0.75,C,2024
Saxon Creek meadows - below Fountain Place,69.0,84,1.0,Non-Channeled Meadow,0.8214285714285714,B,2024
Saxon Creek tributary meadows - 1,96.0,108,101.0,Channeled Meadow,0.8888888888888888,B,2024
Saxon Creek tributary meadows - 5,27.0,60,197.0,Channeled Meadow,0.45,D,2024
Second Creek - lower,30.0,48,591.0,Channeled Meadow,0.625,D,2024
Second Creek - middle,45.0,60,593.0,Channeled Meadow,0.75,C,2024
Secret Harbor Creek - lower,21.0,36,618.0,Channeled Meadow,0.5833333333333334,D,2024
Skylandia SEZ,36.0,36,622.0,Non-Channeled Meadow,1.0,A,2024
Slaughterhouse meadows - 2,84.0,108,180.0,Channeled Meadow,0.7777777777777778,C,2024
Snow Creek tributary - 1,30.0,48,451.0,Channeled Meadow,0.625,D,2024
Snow Creek wetlands - 1,75.0,84,188.0,Channeled Meadow,0.8928571428571429,A,2024
Snow Creek wetlands - 2,90.0,96,189.0,Non-Channeled Meadow,0.9375,A,2024
South Lake Tahoe tributary - 1,42.0,48,463.0,Non-Channeled Meadow,0.875,B,2024
South Lake Tahoe tributary - 2,45.0,60,464.0,Non-Channeled Meadow,0.75,C,2024
South Lake Tahoe tributary - 3,33.0,84,627.0,Non-Channeled Meadow,0.39285714285714285,D,2024
Spooner meadows - 1,87.0,96,445.0,Non-Channeled Meadow,0.90625,A,2024
Spooner meadows - 2,78.0,96,431.0,Channeled Meadow,0.8125,B,2024
Star Lake meadows,78.0,84,45.0,Non-Channeled Meadow,0.9285714285714286,A,2024
Tahoe City tributary - 1,42.0,48,449.0,Non-Channeled Meadow,0.875,B,2024
Tahoe City tributary - 2,42.0,48,450.0,Non-Channeled Meadow,0.875,B,2024
Tallac Creek - abv highway - 1,51.0,84,334.0,Non-Channeled Meadow,0.6071428571428571,D,2024
Tallac Creek - abv highway - 2,45.0,84,604.0,Non-Channeled Meadow,0.5357142857142857,D,2024
Taylor Creek,57.0,72,605.0,Channeled Meadow,0.7916666666666666,A,2024
Taylor Creek marsh,78.0,96,208.0,Channeled Meadow,0.8125,B,2024
Third Creek - lower,39.0,48,577.0,Non-Channeled Meadow,0.8125,B,2024
Third Creek - lower 2,51.0,60,578.0,Channeled Meadow,0.85,B,2024
Third Creek - middle,57.0,60,581.0,Channeled Meadow,0.95,A,2024
Third Creek - middle 1,33.0,48,579.0,Non-Channeled Meadow,0.6875,D,2024
Third Creek - middle 2,36.0,48,580.0,Non-Channeled Meadow,0.75,C,2024
Third Creek - upper 1,51.0,60,582.0,Non-Channeled Meadow,0.85,B,2024
Third Creek meadows - 1,81.0,96,191.0,Non-Channeled Meadow,0.84375,B,2024
Third Creek meadows - 4,81.0,84,195.0,Non-Channeled Meadow,0.9642857142857143,A,2024
Third Creek meadows - 7,78.0,84,16.0,Non-Channeled Meadow,0.9285714285714286,A,2024
Third Creek meadows - 8,84.0,84,15.0,Non-Channeled Meadow,1.0,A,2024
Trout Creek - Highland Woods,78.0,96,109.0,Channeled Meadow,0.8125,B,2024
Trout Creek - upper,64.2,72,496.0,Channeled Meadow,0.8916666666666667,A,2024
Trout Creek above Black Bart,84.0,120,149.0,Non-Channeled Meadow,0.7,C,2024
Trout Creek below Black Bart,81.0,108,161.0,Non-Channeled Meadow,0.75,C,2024
Trout Creek headwaters meadows - 2,102.0,108,9.0,Non-Channeled Meadow,0.9444444444444444,A,2024
Trout Creek meadows - above Fountain Place,78.0,96,103.0,Channeled Meadow,0.8125,B,2024
Trout Creek meadows - above Pioneer 1,72.0,96,148.0,Non-Channeled Meadow,0.75,C,2024
Trout Creek meadows - above Pioneer 2,75.0,96,106.0,Non-Channeled Meadow,0.78125,C,2024
Trout Creek meadows - above Pioneer 3,66.0,96,105.0,Non-Channeled Meadow,0.6875,D,2024
Trout Creek meadows - above Pioneer 4,96.0,120,104.0,Non-Channeled Meadow,0.8,B,2024
UTR - Airport reach,87.0,120,82.0,Non-Channeled Meadow,0.725,C,2024
UTR - Christmas Valley 1,54.0,72,608.0,Channeled Meadow,0.75,C,2024
UTR - Christmas Valley 3,57.0,72,493.0,Channeled Meadow,0.7916666666666666,A,2024
UTR - Johnson meadows - 2,72.0,108,151.0,Non-Channeled Meadow,0.6666666666666666,D,2024
UTR - Johnson meadows - 3,75.0,84,81.0,Non-Channeled Meadow,0.8928571428571429,A,2024
UTR - Reach 5,72.0,96,80.0,Non-Channeled Meadow,0.75,C,2024
UTR - Reach 6,84.0,108,84.0,Channeled Meadow,0.7777777777777778,C,2024
UTR - golf course meadows,42.0,72,86.0,Channeled Meadow,0.5833333333333334,D,2024
UTR - middle,45.0,72,492.0,Non-Channeled Meadow,0.625,D,2024
UTR Marsh - UTR side,69.0,108,78.0,Channeled Meadow,0.6388888888888888,D,2024
UTR marsh - Trout Creek side,81.0,96,165.0,Channeled Meadow,0.84375,B,2024
Upper Truckee River - Meyers,42.0,84,138.0,Non-Channeled Meadow,0.5,D,2024
Upper Truckee River - Tahoe Paradise,78.0,108,7.0,Non-Channeled Meadow,0.7222222222222222,C,2024
Ward Creek - lower,33.0,48,594.0,Channeled Meadow,0.6875,D,2024
Ward Creek - middle,57.0,72,595.0,Channeled Meadow,0.7916666666666666,A,2024
West Shore tributary - 1,42.0,48,455.0,Non-Channeled Meadow,0.875,B,2024
West Shore tributary - 2 - upper,36.0,48,448.0,Non-Channeled Meadow,0.75,C,2024
West Shore tributary - 4,33.0,48,454.0,Channeled Meadow,0.6875,D,2024
Woods Creek - lower,27.0,48,589.0,Channeled Meadow,0.5625,D,2024
Woods Creek - middle,33.0,48,590.0,Channeled Meadow,0.6875,D,2024
Woods Creek - upper,54.0,60,518.0,Channeled Meadow,0.9,A,2024
small meadow 1,90.0,96,11.0,Channeled Meadow,0.9375,A,2024
small meadow 111,72.0,72,132.0,Non-Channeled Meadow,1.0,A,2024
small meadow 113,84.0,84,135.0,Channeled Meadow,1.0,A,2024
small meadow 13,93.0,96,20.0,Non-Channeled Meadow,0.96875,A,2024
small meadow 14,93.0,96,19.0,Non-Channeled Meadow,0.96875,A,2024
small meadow 15,87.0,96,18.0,Non-Channeled Meadow,0.90625,A,2024
small meadow 16,93.0,96,21.0,Non-Channeled Meadow,0.96875,A,2024
small meadow 17,96.0,96,28.0,Channeled Meadow,1.0,A,2024
small meadow 50,93.0,96,23.0,Channeled Meadow,0.96875,A,2024
small meadow 51,90.0,96,42.0,Non-Channeled Meadow,0.9375,A,2024
small meadow 52,90.0,96,41.0,Non-Channeled Meadow,0.9375,A,2024
small meadow 7,93.0,108,27.0,Channeled Meadow,0.8611111111111112,B,2024
small meadow 95,84.0,96,43.0,Channeled Meadow,0.875,B,2024
Angora Creek - upper,45.0,48,520.0,Non-Channeled Meadow,0.9375,A,2024
Big Meadow Creek - upper,36.0,36,491.0,Channeled Meadow,1.0,A,2024
Blackwood Creek - lower 1,21.0,36,523.0,Non-Channeled Meadow,0.5833333333333334,D,2024
Cascade Creek - upper,30.0,36,498.0,Channeled Meadow,0.8333333333333334,B,2024
Cold Creek - tributary 2,36.0,36,533.0,Channeled Meadow,1.0,A,2024
Cold Creek - upper,39.0,48,534.0,Channeled Meadow,0.8125,B,2024
Cookhouse meadow,72.0,72,128.0,Channeled Meadow,1.0,A,2024
Dollar Creek - upper,33.0,36,512.0,Non-Channeled Meadow,0.9166666666666666,A,2024
Eagle Creek,45.0,48,497.0,Non-Channeled Meadow,0.9375,A,2024
Echo Creek - upper,33.0,36,494.0,Non-Channeled Meadow,0.9166666666666666,A,2024
First Creek - lower,27.0,48,543.0,Non-Channeled Meadow,0.5625,D,2024
First Creek - upper,36.0,36,516.0,Non-Channeled Meadow,1.0,A,2024
General Creek - upper,30.0,36,545.0,Non-Channeled Meadow,0.8333333333333334,B,2024
Glen Alpine Creek - upper,45.0,48,606.0,Non-Channeled Meadow,0.9375,A,2024
Glenbrook Creek - upper,39.0,48,547.0,Non-Channeled Meadow,0.8125,B,2024
Grass Lake Creek,30.0,48,609.0,Non-Channeled Meadow,0.625,D,2024
Griff Creek - tributary,45.0,48,548.0,Non-Channeled Meadow,0.9375,A,2024
Griff Creek - upper,39.0,48,549.0,Non-Channeled Meadow,0.8125,B,2024
Hidden Valley Creek - upper,27.0,36,552.0,Non-Channeled Meadow,0.75,C,2024
Homewood Canyon Creek - upper,36.0,36,508.0,Non-Channeled Meadow,1.0,A,2024
Incline Creek - middle 3,18.0,36,636.0,Non-Channeled Meadow,0.5,D,2024
Madden Creek,36.0,36,561.0,Non-Channeled Meadow,1.0,A,2024
Marlette Creek - lower,27.0,36,562.0,Non-Channeled Meadow,0.75,C,2024
Marlette Creek - old dam site,30.0,36,564.0,Non-Channeled Meadow,0.8333333333333334,B,2024
Marlette Creek - south fork (upper),39.0,48,563.0,Non-Channeled Meadow,0.8125,B,2024
McKinney Creek - middle,45.0,48,567.0,Non-Channeled Meadow,0.9375,A,2024
Meeks Creek - upper,45.0,48,502.0,Channeled Meadow,0.9375,A,2024
North Logan House Creek,42.0,48,509.0,Non-Channeled Meadow,0.875,B,2024
North Zephyr Creek - upper,51.0,60,571.0,Non-Channeled Meadow,0.85,B,2024
Quail Creek - upper,39.0,48,575.0,Channeled Meadow,0.8125,B,2024
Rubicon Creek,33.0,48,601.0,Non-Channeled Meadow,0.6875,D,2024
Rubicon Meadows,57.0,72,60.0,Channeled Meadow,0.7916666666666666,A,2024
Second Creek - lower 2,15.0,36,592.0,Riverine (Perennial),0.4166666666666667,D,2024
Second Creek - upper,42.0,48,517.0,Riverine (Perennial),0.875,B,2024
Secret Harbor Creek - upper,42.0,48,619.0,Riverine (Perennial),0.875,B,2024
Slaughterhouse Creek - lower,36.0,48,614.0,Riverine (Perennial),0.75,C,2024
Slaughterhouse Creek - middle,30.0,36,616.0,Riverine (Perennial),0.8333333333333334,B,2024
Tallac Creek - tributary,36.0,48,500.0,Riverine (Perennial),0.75,C,2024
Third Creek - headwaters,36.0,36,585.0,Riverine (Perennial),1.0,A,2024
Third Creek - upper 2,33.0,36,584.0,Riverine (Perennial),0.9166666666666666,A,2024
Trout Creek - tributary 2,36.0,36,613.0,Riverine (Perennial),1.0,A,2024
Trout Creek - tributary 3,42.0,48,612.0,Riverine (Perennial),0.875,B,2024
UTR - Washoe Meadows,39.0,48,607.0,Riverine (Perennial),0.8125,B,2024
UTR - tributary 1,36.0,36,610.0,Riverine (Perennial),1.0,A,2024
UTR - tributary 3,36.0,36,611.0,Riverine (Perennial),1.0,A,2024
UTR - upper,30.0,36,490.0,Riverine (Perennial),0.8333333333333334,B,2024
Ward Creek - upper,48.0,60,511.0,Riverine (Perennial),0.8,B,2024
Watson Creek,36.0,48,513.0,Riverine (Perennial),0.75,C,2024
small meadow 57,57.0,72,73.0,Riverine (Perennial),0.7916666666666666,A,2024
Angora meadows - 4,51.0,60,143.0,Riverine (Perennial),0.85,B,2024
Angora meadows - 5,39.0,72,144.0,Riverine (Perennial),0.5416666666666666,D,2024
Angora meadows - 7,33.0,60,89.0,Riverine (Perennial),0.55,D,2024
Angora meadows - 9,54.0,60,92.0,Riverine (Perennial),0.9,A,2024
Angora meadows tributary - 1,42.0,72,217.0,Riverine (Perennial),0.5833333333333334,D,2024
Angora meadows tributary - 2,39.0,72,99.0,Riverine (Perennial),0.5416666666666666,D,2024
Angora meadows tributary - 3,39.0,48,97.0,Riverine (Perennial),0.8125,B,2024
Angora meadows tributary - 4,57.0,84,94.0,Riverine (Perennial),0.6785714285714286,D,2024
Angora meadows tributary - 6,33.0,72,146.0,Riverine (Perennial),0.4583333333333333,D,2024
Angora meadows tributary - 7,24.0,36,93.0,Riverine (Perennial),0.6666666666666666,D,2024
Angora meadows tributary - 8,15.0,48,95.0,Riverine (Perennial),0.3125,D,2024
Angora meadows tributary - 9,30.0,60,96.0,Riverine (Perennial),0.5,D,2024
Angora tributary,21.0,36,446.0,Riverine (Perennial),0.5833333333333334,D,2024
Big Meadow - 2,69.0,72,48.0,Riverine (Perennial),0.9583333333333334,A,2024
Big Meadow - 3,57.0,72,38.0,Riverine (Perennial),0.7916666666666666,A,2024
Big Meadow - 5,48.0,60,37.0,Riverine (Perennial),0.8,B,2024
Big Meadow - 6,45.0,48,40.0,Riverine (Perennial),0.9375,A,2024
Big meadow - 7,45.0,60,126.0,Riverine (Perennial),0.75,C,2024
Bijou Park Creek meadows - 1,45.0,72,219.0,Riverine (Perennial),0.625,D,2024
Bijou Park Creek meadows - 2,36.0,72,166.0,Riverine (Perennial),0.5,D,2024
Bijou Park Creek meadows - 3,39.0,60,167.0,Riverine (Perennial),0.65,D,2024
Bijou Park Creek meadows - 4,48.0,72,163.0,Riverine (Perennial),0.6666666666666666,D,2024
Bijou Park Creek meadows - 5,3.0,12,489.0,Riverine (Perennial),0.25,D,2024
Bijou Park Creek meadows - 6,3.0,12,488.0,Riverine (Perennial),0.25,D,2024
Bijou meadows - 1,63.0,84,115.0,Riverine (Perennial),0.75,C,2024
Bijou meadows - 2,54.0,60,116.0,Riverine (Perennial),0.9,A,2024
Bijou meadows - 3,33.0,60,164.0,Riverine (Perennial),0.55,D,2024
Bijou meadows - private,45.0,60,114.0,Riverine (Perennial),0.75,C,2024
Bijou meadows - tributary 1,3.0,12,226.0,Riverine (Perennial),0.25,D,2024
Blackwood meadows - 1,57.0,60,66.0,Riverine (Perennial),0.95,A,2024
Blackwood meadows - 3,48.0,60,65.0,Riverine (Perennial),0.8,B,2024
Buddhas meadow,39.0,48,168.0,Riverine (Perennial),0.8125,B,2024
Burke Creek meadows - 2,57.0,60,3.0,Riverine (Perennial),0.95,A,2024
Casino meadows,51.0,60,170.0,Riverine (Perennial),0.85,B,2024
Christmas Valley meadows - 4,39.0,48,225.0,Riverine (Perennial),0.8125,B,2024
Cold Creek tributary - 4,33.0,48,465.0,Riverine (Perennial),0.6875,D,2024
Cold Creek tributary - 5,24.0,24,466.0,Riverine (Perennial),1.0,A,2024
Colony Inn meadows - lower,3.0,12,169.0,Riverine (Perennial),0.25,D,2024
Colony Inn meadows - upper,42.0,60,485.0,Riverine (Perennial),0.7,C,2024
Deer Creek meadows,42.0,60,30.0,Riverine (Perennial),0.7,C,2024
Edgewood meadows,15.0,24,221.0,Riverine (Perennial),0.625,D,2024
Elks Club meadows - 1,42.0,60,141.0,Riverine (Perennial),0.7,C,2024
Elks Club meadows - 2,42.0,48,85.0,Riverine (Perennial),0.875,B,2024
Fallen Leaf meadows - 1,57.0,60,154.0,Riverine (Perennial),0.95,A,2024
Fallen Leaf meadows - 2,48.0,60,155.0,Riverine (Perennial),0.8,B,2024
Fallen Leaf meadows - 3,57.0,60,147.0,Riverine (Perennial),0.95,A,2024
Fallen Leaf meadows - 4,57.0,60,76.0,Riverine (Perennial),0.95,A,2024
Freel Meadows - 1,66.0,72,25.0,Riverine (Perennial),0.9166666666666666,A,2024
Freel Meadows - 2,48.0,48,24.0,Riverine (Perennial),1.0,A,2024
Gardner meadow,45.0,84,150.0,Riverine (Perennial),0.5357142857142857,D,2024
General Creek meadows,51.0,60,61.0,Riverine (Perennial),0.85,B,2024
Glenbrook meadows - 2,51.0,60,178.0,Riverine (Perennial),0.85,B,2024
Golden Bear meadows - 2,33.0,36,196.0,Riverine (Perennial),0.9166666666666666,A,2024
Grass Lake meadow,51.0,60,127.0,Riverine (Perennial),0.85,B,2024
Haypress Meadows,51.0,60,50.0,Riverine (Perennial),0.85,B,2024
Heavenly Valley Creek - upper,15.0,36,499.0,Riverine (Perennial),0.4166666666666667,D,2024
High meadows - 5,39.0,48,201.0,Riverine (Perennial),0.8125,B,2024
Incline Lake meadows - 1,51.0,72,192.0,Riverine (Perennial),0.7083333333333334,C,2024
Incline Village tributary - 1,18.0,24,458.0,Riverine (Perennial),0.75,C,2024
Kahle meadows - 2,54.0,72,204.0,Riverine (Perennial),0.75,C,2024
Kahle meadows - 4,51.0,72,468.0,Riverine (Perennial),0.7083333333333334,C,2024
Kahle meadows - 7,45.0,72,119.0,Riverine (Perennial),0.625,D,2024
Kahle meadows - 8,9.0,36,486.0,Riverine (Perennial),0.25,D,2024
Kingsbury meadows,3.0,12,222.0,Riverine (Perennial),0.25,D,2024
Lake Forest meadows - 1,48.0,60,185.0,Riverine (Perennial),0.8,B,2024
Lake Forest meadows - 2,57.0,84,186.0,Riverine (Perennial),0.6785714285714286,D,2024
Lake Forest meadows - 6,3.0,12,183.0,Riverine (Perennial),0.25,D,2024
Lakeshore meadows,39.0,48,72.0,Riverine (Perennial),0.8125,B,2024
Logan House meadow,45.0,48,13.0,Riverine (Perennial),0.9375,A,2024
Marlette Creek - south fork (lower),21.0,48,642.0,Riverine (Perennial),0.4375,D,2024
Marlette Lake meadows,45.0,48,32.0,Riverine (Perennial),0.9375,A,2024
McFaul Creek - lower,15.0,24,565.0,Riverine (Perennial),0.625,D,2024
McFual meadow,48.0,60,71.0,Riverine (Perennial),0.8,B,2024
Meeks Bay Lagoon,9.0,36,235.0,Riverine (Perennial),0.25,D,2024
Meeks Bay meadows - 3,63.0,72,36.0,Riverine (Perennial),0.875,B,2024
Meeks Bay meadows - 4,42.0,48,206.0,Riverine (Perennial),0.875,B,2024
Meyers meadow,45.0,84,218.0,Riverine (Perennial),0.5357142857142857,D,2024
Meyers tributary - 1,24.0,48,447.0,Riverine (Perennial),0.5,D,2024
Mill Creek meadows,15.0,36,234.0,Riverine (Perennial),0.4166666666666667,D,2024
Mount Rainier Drive meadows - 1,27.0,36,215.0,Riverine (Perennial),0.75,C,2024
Mount Rainier Drive meadows - 2,27.0,36,216.0,Riverine (Perennial),0.75,C,2024
Muskawi Drive meadows,48.0,60,83.0,Riverine (Perennial) + Forested,0.8,B,2024
North Logan House meadows,39.0,48,12.0,Riverine (Perennial),0.8125,B,2024
Nottaway Drive meadows,18.0,36,213.0,Riverine (Perennial),0.5,D,2024
Osgood Swamp,45.0,60,482.0,Riverine (Perennial),0.75,C,2024
Paige meadows,54.0,60,182.0,Riverine (Perennial),0.9,A,2024
Pope marsh meadow,51.0,60,483.0,Riverine (Perennial),0.85,B,2024
Quail Creek meadow,36.0,60,26.0,Riverine (Perennial),0.6,D,2024
Rubicon Creek - tributary,15.0,24,602.0,Riverine (Perennial),0.625,D,2024
Saxon Creek tributary meadows - 3,39.0,48,100.0,Riverine (Perennial),0.8125,B,2024
Saxon Creek tributary meadows - 4,39.0,48,140.0,Riverine (Perennial),0.8125,B,2024
Saxon Creek tributary meadows - 6,30.0,72,139.0,Riverine (Perennial),0.4166666666666667,D,2024
Saxon Creek tributary meadows - 7,48.0,72,231.0,Riverine (Perennial),0.6666666666666666,D,2024
Sierra Tract wetlands,15.0,36,211.0,Riverine (Perennial),0.4166666666666667,D,2024
Ski Run meadows,15.0,24,220.0,Riverine (Perennial),0.625,D,2024
Sky meadows,30.0,48,79.0,Riverine (Perennial),0.625,D,2024
Slaughterhouse Creek - upper,24.0,24,617.0,Riverine (Perennial),1.0,A,2024
Slaughterhouse Meadows - 1,54.0,84,6.0,Riverine (Perennial),0.6428571428571429,D,2024
Snow Creek tributary - 2,21.0,24,452.0,Riverine (Perennial),0.875,B,2024
South Lake Tahoe - wetland 1,21.0,48,229.0,Riverine (Perennial),0.4375,D,2024
South Lake Tahoe airport,3.0,12,484.0,Riverine (Perennial),0.25,D,2024
Spooner Meadows - 4,57.0,84,5.0,Riverine (Perennial),0.6785714285714286,D,2024
Spooner meadows - 3,66.0,72,120.0,Riverine (Perennial),0.9166666666666666,A,2024
Spooner meadows - 5,45.0,48,121.0,Riverine (Perennial),0.9375,A,2024
Susquehana meadows - 1,33.0,60,108.0,Riverine (Perennial),0.55,D,2024
Susquehana meadows - 2,24.0,60,107.0,Riverine (Perennial),0.4,D,2024
Tahoe City meadow,15.0,24,224.0,Riverine (Perennial),0.625,D,2024
Tahoe Island meadows - 1,48.0,60,158.0,Riverine (Perennial),0.8,B,2024
Tahoe Island meadows - 2,18.0,36,156.0,Riverine (Perennial),0.5,D,2024
Tahoe Keys,45.0,60,162.0,Riverine (Perennial),0.75,C,2024
Tahoe Paradise golf course,15.0,36,632.0,Riverine (Perennial),0.4166666666666667,D,2024
Tahoe Valley meadows - 1,27.0,48,153.0,Riverine (Perennial),0.5625,D,2024
Tahoe Valley meadows - 2,12.0,36,228.0,Riverine (Perennial),0.3333333333333333,D,2024
Tahoe Vista meadows,21.0,36,227.0,Riverine (Perennial),0.5833333333333334,D,2024
Tallac marsh,54.0,72,159.0,Riverine (Perennial),0.75,C,2024
Tallac meadows,51.0,60,157.0,Riverine (Perennial),0.85,B,2024
Third Creek - upper 3,24.0,24,583.0,Riverine (Perennial),1.0,A,2024
Third Creek meadows - 3,60.0,60,34.0,Riverine (Perennial),1.0,A,2024
Third Creek meadows - 6,57.0,60,194.0,Riverine (Perennial),0.95,A,2024
Trout Creek headwaters meadows - 1,66.0,84,137.0,Riverine (Perennial),0.7857142857142857,C,2024
Van Sickle meadows,54.0,72,117.0,Riverine (Perennial),0.75,C,2024
Ward Creek meadow,39.0,48,625.0,Riverine (Perennial),0.8125,B,2024
Washoan Blvd meadows,30.0,48,145.0,Riverine (Perennial),0.625,D,2024
Washoe State Parks meadow - 1,45.0,60,4.0,Riverine (Perennial),0.75,C,2024
Washoe State Parks meadow - 2,54.0,72,98.0,Riverine (Perennial),0.75,C,2024
West Shore tributary - 2 - lower,6.0,24,639.0,Riverine (Perennial),0.25,D,2024
West Shore tributary - 3,36.0,48,456.0,Riverine (Perennial),0.75,C,2024
small meadow 10,48.0,48,64.0,Riverine (Perennial),1.0,A,2024
small meadow 100,27.0,48,77.0,Riverine (Perennial),0.5625,D,2024
small meadow 105,36.0,36,125.0,Riverine (Perennial),1.0,A,2024
small meadow 112,54.0,60,133.0,Riverine (Perennial),0.9,A,2024
small meadow 116,69.0,84,181.0,Riverine (Perennial),0.8214285714285714,B,2024
small meadow 19,45.0,48,63.0,Riverine (Perennial),0.9375,A,2024
small meadow 2,48.0,72,10.0,Riverine (Perennial),0.6666666666666666,D,2024
small meadow 20,66.0,72,623.0,Riverine (Perennial),0.9166666666666666,A,2024
small meadow 21,57.0,60,67.0,Riverine (Perennial),0.95,A,2024
small meadow 22,42.0,48,53.0,Riverine (Perennial),0.875,B,2024
